PLAYER NAME             KILLS   DEATHS     KDR   PLAYED WITH CHAMPION(S)
Warhead                    16        2    8.00   Vel'Koz
Yurazzing                  16        2    8.00   Caitlyn
4lbion                      8        0    8.00   Rumble
BenPlastic                  8        0    8.00   Sivir
CaptainReynolds             8        0    8.00   Anivia
ChinaSexyTeddy              8        0    8.00   Cho'Gath
Colin3                      8        0    8.00   Xerath
Freezer77                   8        0    8.00   Cho'Gath
HumanBeing                  8        0    8.00   Rumble
LatinaBooty                 8        0    8.00   LeeSin
Selysium                    8        0    8.00   Heimerdinger
Spearsfordays               8        0    8.00   Kalista
YumDoritos                  8        0    8.00   Tryndamere
kguest1                     8        0    8.00   Sivir
khan23                      8        0    8.00   Singed
unkotintinmaru              8        0    8.00   LeeSin
vienbest                    8        0    8.00   Nocturne
1onelySoul                  8        1    8.00   Caitlyn
2k5o1f3q9x46y70c            8        1    8.00   Volibear
Achangchang                 8        1    8.00   JarvanIV
Alalakaw                    8        1    8.00   Ezreal
ArtofWu                     8        1    8.00   Wukong
CREAJ                       8        1    8.00   Sivir
CaptainKnucklez             8        1    8.00   Gragas
FinalBoss69                 8        1    8.00   Volibear
GYGALavender                8        1    8.00   Hecarim
GnubHeadShot                8        1    8.00   Malphite
HeiL300Only                 8        1    8.00   Ezreal
Hey1tsme                    8        1    8.00   Jinx
Kanerr                      8        1    8.00   Dr.Mundo
Konestar                    8        1    8.00   Warwick
Mafinxx                     8        1    8.00   Ezreal
Metrical                    8        1    8.00   Irelia
PrinnyDudes                 8        1    8.00   Zac
Saphiric                    8        1    8.00   Rumble
ShirayukiMizore             8        1    8.00   Annie
SunbaeNoticedMe             8        1    8.00   Xerath
Triplsec                    8        1    8.00   Graves
bestbobNA                   8        1    8.00   Ziggs
fxxxyxx                     8        1    8.00   Caitlyn
lampo383                    8        1    8.00   JarvanIV
mcsn                        8        1    8.00   Ashe
nisanasa                    8        1    8.00   Nidalee
unalienable52               8        1    8.00   Anivia
Philol                     38        5    7.60   Annie
getsoooooome               30        4    7.50   Fizz
Caedmor                    15        2    7.50   Vi
HelloImBi                  15        2    7.50   Cho'Gath
LangJaiErick               15        2    7.50   Nasus
M4DRe4PeRSk                15        2    7.50   Caitlyn
Nick93                     15        2    7.50   Malzahar
beautifulbutter            15        2    7.50   Garen
Irrealism                  22        3    7.33   Kalista
KubixZesty                 22        3    7.33   Ahri
OrzeI                      21        3    7.00   Udyr
Sm420YoloScope             21        3    7.00   Diana
blueittoldme               21        3    7.00   Tristana
AlexanderlOl               14        2    7.00   Yasuo
Bleisch                    14        2    7.00   Jinx
Darkidote                  14        2    7.00   Graves
LonelyNight                14        2    7.00   XinZhao
Roughly3Owls               14        2    7.00   Garen
SpringWater                14        2    7.00   Graves
Trip69                     14        2    7.00   Pantheon
mirotice                   14        2    7.00   Nidalee
